"","Gene_name","Description","log2FC_male-female","q-value"
"51","FMC1","Protein FMC1 homolog",0.455575477656692,0.072316160987588
"52","ITPA","Inosine triphosphate pyrophosphatase",0.455400592788711,0.0243601693198712
"53","FKBP3","Peptidyl-prolyl cis-trans isomerase FKBP3",0.453621053371821,0.00426637322511352
"54","CYB5R1","NADH-cytochrome b5 reductase 1",0.447905575383743,0.195819536171841
"55","NDUFB1","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1",0.447214158199589,0.225367271068518
"56","MYH7B","Myosin-7B",0.446971107551761,0.561113089775598
"57","HSD17B10","3-hydroxyacyl-CoA dehydrogenase type-2",0.442021767614493,0.00972133984291611
"58","COX6A2","Cytochrome c oxidase subunit 6A2, mitochondrial",0.438763582890289,0.0243601693198712
"59","INTU","Protein inturned",0.438507846102606,0.38933124876351
"60","RPS6KA5","Ribosomal protein S6 kinase alpha-5",0.436119038242939,0.216653305015504
"61","RPS29","40S ribosomal protein S29",0.434435676558543,0.0316722843919064
"62","OVCA2","Esterase OVCA2",0.433687936663912,0.00126582553227205
"63","HSD17B8","(3R)-3-hydroxyacyl-CoA dehydrogenase",0.430864425100294,0.0380733570217883
"64","NAMPT","Nicotinamide phosphoribosyltransferase",0.429705076101902,0.0222847912823609
"65","COX20","Cytochrome c oxidase assembly protein COX20, mitochondrial",0.425019196536491,0.223475900897082
"66","RPS7","40S ribosomal protein S7",0.424712243022311,0.0232173797131176
"67","RPS17","40S ribosomal protein S17",0.424562350708433,0.0102788106207042
"68","ACTN3","Alpha-actinin-3",0.423431528549663,0.506046470588175
"69","ATP6V1E1","V-type proton ATPase subunit E 1",0.423391457617729,0.00263291320732566
"70","LTBP4","Latent-transforming growth factor beta-binding protein 4",0.420959276548119,0.0691749321660165
"71","PYURF","Protein preY, mitochondrial",0.42074635666407,0.0645444930660709
"72","GORASP2","Golgi reassembly-stacking protein 2",0.42040875365565,0.0775748429987298
"73","PPP4R1","Serine/threonine-protein phosphatase 4 regulatory subunit 1",0.420245966816834,0.0611399189641515
"74","ENO2","Gamma-enolase",0.419515271501989,0.0961665402141284
"75","CMC2","COX assembly mitochondrial protein 2 homolog",0.418550879345068,0.0582773624419255
"76","FDX2","Ferredoxin-2, mitochondrial",0.418168723127524,0.393000402467752
"77","ME2","NAD-dependent malic enzyme, mitochondrial",0.415490865303195,0.207457906471969
"78","DNAJA4","DnaJ homolog subfamily A member 4",0.414969835329151,0.0776353157833235
"79","IBA57","Putative transferase CAF17, mitochondrial",0.409439233845346,0.0256126201190036
"80","CBR4","3-oxoacyl-[acyl-carrier-protein] reductase",0.408986712243552,0.016058175855527
"81","PELO","Protein pelota homolog",0.408737256080821,0.0452705716587898
"82","TIMMDC1","Complex I assembly factor TIMMDC1, mitochondrial",0.406246851756277,0.181769553345782
"83","NUDT19","Acyl-coenzyme A diphosphatase NUDT19",0.405359750343521,0.0273644913430892
"84","UQCRQ","Cytochrome b-c1 complex subunit 8",0.403515362523722,0.0273644913430892
"85","RPS13","40S ribosomal protein S13",0.402902617537798,0.0443777015882709
"86","TIMM8B","Mitochondrial import inner membrane translocase subunit Tim8 B",0.399347427036535,0.0755705195331673
"87","ARPC1A","Actin-related protein 2/3 complex subunit 1A",0.399334437161679,0.0792318226317998
"88","GBE1","1,4-alpha-glucan-branching enzyme",0.399050502714982,0.00212748320252397
"89","PON2","Serum paraoxonase/arylesterase 2",0.399042112111244,0.315706438779562
"90","MYBPH","Myosin-binding protein H",0.394654295464941,0.409368487725656
"91","CRYZ","Quinone oxidoreductase",0.394380110261533,0.0232173797131176
"92","NT5C","5'(3')-deoxyribonucleotidase, cytosolic type",0.394042163497028,0.0232173797131176
"93","TXNRD2","Thioredoxin reductase 2, mitochondrial",0.393163332534085,0.0232173797131176
"94","TIMM44","Mitochondrial import inner membrane translocase subunit TIM44",0.392598585248308,0.0190937975709973
"95","SH3KBP1","SH3 domain-containing kinase-binding protein 1",0.391264635127113,0.277671308124249
"96","ACTG1","Actin, cytoplasmic 2",0.390592430090837,0.261951300762035
"97","GSTZ1","Maleylacetoacetate isomerase",0.390319150824197,0.0147279155687385
"98","GNL1","Guanine nucleotide-binding protein-like 1",0.388422910700772,0.0927198389806936
"99","PPP1R12B","Protein phosphatase 1 regulatory subunit 12B",0.388270508057984,0.00830200108038081
"100","GLRX5","Glutaredoxin-related protein 5, mitochondrial",0.388181316913929,0.0761486594092174
"101","STX12","Syntaxin-12",0.386506212650763,0.0851197157291026
"102","ACSS3","Acyl-CoA synthetase short-chain family member 3, mitochondrial",0.385593593613532,0.0923409932900151
"103","ATP5PO","ATP synthase subunit O, mitochondrial",0.38177219068773,0.0776353157833235
"104","PDPR","Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",0.381193383959847,0.146446751838259
"105","MRPS17","28S ribosomal protein S17, mitochondrial",0.381171581372763,0.0354813363429325
"106","RSU1","Ras suppressor protein 1",0.380405751186906,0.042670889659931
"107","GSTM1","Glutathione S-transferase Mu 1",0.37880567516835,0.48653135622796
"108","MIEF1","MIEF1 upstream open reading frame protein",0.378494583653847,0.104699907724913
"109","CYC1","Cytochrome c1, heme protein, mitochondrial",0.377895017902418,0.0546485488500668
"110","MRPS28","28S ribosomal protein S28, mitochondrial",0.376872206278417,0.0331570085841238
"111","NDUFA7","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7",0.376084230448679,0.0923409932900151
"112","AFG1L","AFG1-like ATPase",0.375564178808883,0.252189345011139
"113","EZR","Ezrin",0.374923623599097,0.0482120556440046
"114","NQO2","Ribosyldihydronicotinamide dehydrogenase [quinone]",0.371362796314822,0.361750373546728
"115","TSNAX","Translin-associated protein X",0.370142840080167,0.04907241907377
"116","RPL3","60S ribosomal protein L3",0.369772969669144,0.114338179174435
"117","RAPH1","Ras-associated and pleckstrin homology domains-containing protein 1",0.368538973648331,0.166341613584437
"118","PTGES2","Prostaglandin E synthase 2",0.368082713110905,0.0101656278681949
"119","RPS15A","40S ribosomal protein S15a",0.367837436080732,0.00986195386996708
"120","GSTT1","Glutathione S-transferase theta-1",0.367776154320859,0.237227326731938
"121","GPD1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",0.365858285221684,0.123123435766758
"122","MRPL3","39S ribosomal protein L3, mitochondrial",0.365013245878375,0.0875732050572423
"123","NUP133","Nuclear pore complex protein Nup133",0.363604641686729,0.034277512057307
"124","HMGB1","High mobility group protein B1",0.361141493666482,0.0273644913430892
"125","GAPDH","Glyceraldehyde-3-phosphate dehydrogenase",0.360984924745772,0.103915483737893
"126","VCL","Vinculin",0.360690286263903,0.00134211452943521
"127","ENDOG","Endonuclease G, mitochondrial",0.36035570798737,0.0340512472072289
"128","ATP5MG","ATP synthase subunit g, mitochondrial",0.360298289398706,0.169567677451318
"129","MRPL53","39S ribosomal protein L53, mitochondrial",0.358033396425512,0.0196731421789845
"130","ADHFE1","Hydroxyacid-oxoacid transhydrogenase, mitochondrial",0.356996626072947,0.116735273824543
"131","ATP5ME","ATP synthase subunit e, mitochondrial",0.354797380277457,0.229232747848728
"132","ETFDH","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",0.354282201989225,0.0443777015882709
"133","CPPED1","Serine/threonine-protein phosphatase CPPED1",0.353868032510338,0.0462420875835474
"134","LDAF1","Lipid droplet assembly factor 1",0.351532965496862,0.451728876196246
"135","THEM4","Acyl-coenzyme A thioesterase THEM4",0.351424714965292,0.156315517078544
"136","MYO18B","Unconventional myosin-XVIIIb",0.350479257905342,0.223475900897082
"137","DHRS4","Dehydrogenase/reductase SDR family member 4",0.349484903427713,0.0746150418466115
"138","GSTK1","Glutathione S-transferase kappa 1",0.347575982811843,0.0610715320295852
"139","ACOT13","Acyl-coenzyme A thioesterase 13",0.347498579880227,0.0753752465020577
"140","CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1",0.347379605938229,0.237227326731938
"141","PHKB","Phosphorylase b kinase regulatory subunit beta",0.3471814957162,0.205575128265389
"142","RPS19","40S ribosomal protein S19",0.34605300902671,0.112060756997842
"143","RHOT1","Mitochondrial Rho GTPase 1",0.345671321744408,0.0808137932054935
"144","CAPRIN1","Caprin-1",0.345342667478402,0.0808137932054935
"145","SUPV3L1","ATP-dependent RNA helicase SUPV3L1, mitochondrial",0.343472162628329,0.044614070589537
"146","CKMT2","Creatine kinase S-type, mitochondrial",0.3423413485996,0.112481584581766
"147","GMPPB","Mannose-1-phosphate guanyltransferase beta",0.341910695401554,0.125896382956385
"148","ISCA2","Iron-sulfur cluster assembly 2 homolog, mitochondrial",0.339723648999065,0.0137777071087123
"149","ATP1B1","Sodium/potassium-transporting ATPase subunit beta-1",0.338939462414453,0.00212748320252397
"150","ACO2","Aconitate hydratase, mitochondrial",0.338656792742004,0.0589180224411855
"151","ACAT1","Acetyl-CoA acetyltransferase, mitochondrial",0.337906760835132,0.094587276516213
"152","MAPKAPK2","MAP kinase-activated protein kinase 2",0.33711589061256,0.166341613584437
"153","SNTA1","Alpha-1-syntrophin",0.336839286129029,0.00603947336358485
"154","S100A1","Protein S100-A1",0.336758543966074,0.0576990246332312
"155","PNPT1","Polyribonucleotide nucleotidyltransferase 1, mitochondrial",0.336015700767504,0.00278495924055115
"156","IDI1","Isopentenyl-diphosphate Delta-isomerase 1",0.335826358021951,0.0947510558616424
"157","CLPB","Caseinolytic peptidase B protein homolog",0.335676346675918,0.0576990246332312
"158","TRMT10C","tRNA methyltransferase 10 homolog C",0.335631481457705,0.0207836089212993
"159","SDHB","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.335049054140722,0.0354813363429325
"160","CA8","Carbonic anhydrase-related protein",0.334519958193553,0.265478293533947
"161","MICOS10","MICOS complex subunit MIC10",0.334338758757882,0.166341613584437
"162","UQCRC2","Cytochrome b-c1 complex subunit 2, mitochondrial",0.33410461201607,0.0534914340265654
"163","SMIM11","Small integral membrane protein 11",0.333261912533214,0.253830515707326
"164","API5","Apoptosis inhibitor 5",0.332853056894388,0.164506913630468
"165","C6orf136","Uncharacterized protein C6orf136",0.332434089961321,0.175424484247007
"166","PSMD7","26S proteasome non-ATPase regulatory subunit 7",0.330920318289174,0.00817241528631802
"167","KIAA1671","Uncharacterized protein KIAA1671",0.330611892124155,0.0844702531653
"168","UFSP2","Ufm1-specific protease 2",0.329857574407153,0.496450343426818
"169","MT-CO1","Cytochrome c oxidase subunit 1",0.328772376719897,0.278282227059099
"170","C4orf54","Uncharacterized protein C4orf54",0.327713482847377,0.264547304117881
"171","SF3B2","Splicing factor 3B subunit 2",0.327495025249174,0.0331570085841238
"172","COQ8A","Atypical kinase COQ8A, mitochondrial",0.327225870683598,0.164506913630468
"173","ENPP4","Bis(5'-adenosyl)-triphosphatase ENPP4",0.326950507042909,0.331966178147257
"174","RPS28","40S ribosomal protein S28",0.325993237773018,0.0526629653740014
"175","TPI1","Triosephosphate isomerase",0.325793611558982,0.0316722843919064
"176","DECR1","2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",0.325785454089015,0.185351830628396
"177","DLD","Dihydrolipoyl dehydrogenase, mitochondrial",0.324838120685353,0.0169654948245788
"178","COX5B","Cytochrome c oxidase subunit 5B, mitochondrial",0.324817622524687,0.0821480704417032
"179","ENO3","Beta-enolase",0.324549443209044,0.285222159190619
"180","AUH","Methylglutaconyl-CoA hydratase, mitochondrial",0.324504559630457,0.16847563055831
"181","MRPL12","39S ribosomal protein L12, mitochondrial",0.323548482911358,0.0232173797131176
"182","GADD45GIP1","Growth arrest and DNA damage-inducible proteins-interacting protein 1",0.322988140648503,0.0582773624419255
"183","SSBP1","Single-stranded DNA-binding protein, mitochondrial",0.320506784804003,0.0223711508864917
"184","NUBPL","Iron-sulfur protein NUBPL",0.318467198806607,0.128024530944565
"185","SDHA","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.317781369407642,0.0232173797131176
"186","SLIRP","SRA stem-loop-interacting RNA-binding protein, mitochondrial",0.316766212047908,0.0243601693198712
"187","PPP1R3D","Protein phosphatase 1 regulatory subunit 3D",0.316625199131593,0.294266598531211
"188","MAPT","Microtubule-associated protein tau",0.316380211819121,0.0628123014657852
"189","GLS","Glutaminase kidney isoform, mitochondrial",0.316378102332628,0.188653162353758
"190","SYNPO2L","Synaptopodin 2-like protein",0.315828431322881,0.0277533305478216
"191","PARVB","Beta-parvin",0.31578100259151,0.0753752465020577
"192","LACTB2","Endoribonuclease LACTB2",0.315133046887709,0.0585230950316447
"193","DCAF8","DDB1- and CUL4-associated factor 8",0.314356500968735,0.0383059496348307
"194","SIAE","Sialate O-acetylesterase",0.314334148929305,0.0776353157833235
"195","MRPS31","28S ribosomal protein S31, mitochondrial",0.314331682796531,0.0537365925793171
"196","COX5A","Cytochrome c oxidase subunit 5A, mitochondrial",0.314274959373968,0.094122484573403
"197","TNFAIP2","Tumor necrosis factor alpha-induced protein 2",0.313685545044443,0.185351830628396
"198","AGBL1","Cytosolic carboxypeptidase 4",0.313606629777528,0.237227326731938
"199","PHKG1","Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",0.312246956306643,0.261161558671333
"200","RBM8A","RNA-binding protein 8A",0.312219501066897,0.0745632952252695
"201","ASPSCR1","Tether containing UBX domain for GLUT4",0.311775251682835,0.136081876468804
"202","HTD2","Hydroxyacyl-thioester dehydratase type 2, mitochondrial",0.311166080396072,0.415894822536518
"203","HMBS","Porphobilinogen deaminase",0.310586690963637,0.0691749321660165
"204","PPT1","Palmitoyl-protein thioesterase 1",0.310571407874045,0.260096149143391
"205","PPFIA4","Liprin-alpha-4",0.310110191457587,0.319855840714407
"206","MYL9","Myosin regulatory light polypeptide 9",0.309697186867041,0.160724084875265
"207","ALDH1A2","Retinal dehydrogenase 2",0.308535733169228,0.291395863543637
"208","MDH2","Malate dehydrogenase, mitochondrial",0.307778104743409,0.017815530220372
"209","TPD52","Tumor protein D52",0.307649151354807,0.237227326731938
"210","PTCD3","Pentatricopeptide repeat domain-containing protein 3, mitochondrial",0.307205134131735,0.0905596001121722
"211","LDHA","L-lactate dehydrogenase A chain",0.307124533556653,0.436301037689732
"212","HLA-A","HLA class I histocompatibility antigen, A alpha chain",0.306172994941397,0.0582773624419255
"213","KHDRBS1","KH domain-containing, RNA-binding, signal transduction-associated protein 1",0.306037812839747,0.198328237374864
"214","PSMC1","26S proteasome regulatory subunit 4",0.304886358235196,0.00212748320252397
"215","CASP3","Caspase-3",0.3044168852203,0.0823196149567642
"216","BCKDHA","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",0.304240111789831,0.253830515707326
"217","COX7A2L","Cytochrome c oxidase subunit 7A-related protein, mitochondrial",0.304215715357856,0.306736768267979
"218","ANKRD2","Ankyrin repeat domain-containing protein 2",0.304117900956065,0.253830515707326
"219","ATP1A1","Sodium/potassium-transporting ATPase subunit alpha-1",0.303096028709701,0.0106262103615841
"220","RBKS","Ribokinase",0.302854458127976,0.237227326731938
"221","HADH","Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",0.302352725654583,0.079396593088802
"222","NDUFAF4","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4",0.302064833133935,0.0546450129292632
"223","ISOC2","Isochorismatase domain-containing protein 2",0.300963703279697,0.0192952737091714
"224","CHMP4B","Charged multivesicular body protein 4b",0.300800606226279,0.383514469734822
"225","MRPL48","39S ribosomal protein L48, mitochondrial",0.300605842139905,0.135909508247373
"226","PDHB","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",0.300233380142807,0.0443777015882709
"227","PDHX","Pyruvate dehydrogenase protein X component, mitochondrial",0.299516041051927,0.0237475318734044
"228","SOD2","Superoxide dismutase [Mn], mitochondrial",0.299256559863611,0.0912283351905054
"229","GUF1","Translation factor GUF1, mitochondrial",0.298767453645885,0.0914162024925357
"230","EIF3G","Eukaryotic translation initiation factor 3 subunit G",0.297982409019738,0.0169873348031095
"231","MFAP4","Microfibril-associated glycoprotein 4",0.297567636646084,0.277671308124249
"232","UBE2D3","Ubiquitin-conjugating enzyme E2 D3",0.296434928643292,0.472442746976208
"233","SIL1","Nucleotide exchange factor SIL1",0.295625758827279,0.181769553345782
"234","SARNP","SAP domain-containing ribonucleoprotein",0.29476324798352,0.117185654960388
"235","CDK5","Cyclin-dependent kinase 5",0.294469501301609,0.0273644913430892
"236","PDHA1","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",0.292981273623692,0.028670151421485
"237","PRPF40A","Pre-mRNA-processing factor 40 homolog A",0.292938585212317,0.157967704878343
"238","ATP1A2","Sodium/potassium-transporting ATPase subunit alpha-2",0.292910689899132,0.00243013151442402
"239","RPS26","40S ribosomal protein S26",0.292389396946355,0.028670151421485
"240","ETHE1","Persulfide dioxygenase ETHE1, mitochondrial",0.291883711353069,0.00212748320252397
"241","CHD2","Chromodomain-helicase-DNA-binding protein 2",0.290812626160257,0.573251214578429
"242","CAPNS1","Calpain small subunit 1",0.289720133079173,0.0267988106844405
"243","CD2AP","CD2-associated protein",0.289250294606944,0.237227326731938
"244","PSMB7","Proteasome subunit beta type-7",0.288895101740605,0.112481584581766
"245","EEF1A2","Elongation factor 1-alpha 2",0.287869004331188,0.0106262103615841
"246","AK2","Adenylate kinase 2, mitochondrial",0.287753886324108,0.00997843786998542
"247","S100A6","Protein S100-A6",0.287124783610873,0.191626893102988
"248","TACO1","Translational activator of cytochrome c oxidase 1",0.286494313501766,0.0689711778652239
"249","SHOC2","Leucine-rich repeat protein SHOC-2",0.285470576463037,0.21350265151668
"250","MRPS10","28S ribosomal protein S10, mitochondrial",0.285267037750302,0.265478293533947
"251","DUSP13","Dual specificity protein phosphatase 13 isoform A",0.285098091208896,0.137021681174148
"252","DUSP13","Dual specificity protein phosphatase 13 isoform B",0.285098091208896,0.137021681174148
"253","DNAJC21","DnaJ homolog subfamily C member 21",0.284838689275821,0.185351830628396
"254","HNRNPR","Heterogeneous nuclear ribonucleoprotein R",0.284780896402326,0.129441088042711
"255","MTFMT","Methionyl-tRNA formyltransferase, mitochondrial",0.28433463396996,0.304801319527287
"256","ACO1","Cytoplasmic aconitate hydratase",0.282828353249959,0.0243601693198712
"257","ARID4A","AT-rich interactive domain-containing protein 4A",0.282742225527386,0.185351830628396
"258","ATP5PF","ATP synthase-coupling factor 6, mitochondrial",0.282567636564657,0.168008172139221
"259","COQ7","5-demethoxyubiquinone hydroxylase, mitochondrial",0.282494489604984,0.0267988106844405
"260","PPIL1","Peptidyl-prolyl cis-trans isomerase-like 1",0.282326156095053,0.134869352790837
"261","POLR1B","DNA-directed RNA polymerase I subunit RPA2",0.282323572230194,0.360435332261188
"262","SUGP2","SURP and G-patch domain-containing protein 2",0.282087723710569,0.1375386435665
"263","FUCA1","Tissue alpha-L-fucosidase",0.281975680883784,0.216518879395793
"264","PGK1","Phosphoglycerate kinase 1",0.281537255336122,0.292314032177381
"265","NUDT2","Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]",0.281242819818251,0.0624632814138695
"266","RPS23","40S ribosomal protein S23",0.280131850401844,0.166341613584437
"267","PGM1","Phosphoglucomutase-1",0.279835382376358,0.127294114069975
"268","DNAH10","Dynein axonemal heavy chain 10",0.279372930158905,0.441372981563712
"269","ATP5F1B","ATP synthase subunit beta, mitochondrial",0.278701599254358,0.101185663663328
"270","PTRHD1","Putative peptidyl-tRNA hydrolase PTRHD1",0.278300346454945,0.056608032326926
"271","RPS14","40S ribosomal protein S14",0.278037929326672,0.072080134731864
"272","CELF1","CUGBP Elav-like family member 1",0.278031299711417,0.206765246694487
"273","FUNDC2","FUN14 domain-containing protein 2",0.276844057084752,0.0582773624419255
"274","SPRYD4","SPRY domain-containing protein 4",0.275440297069967,0.184555647147106
"275","MRPL13","39S ribosomal protein L13, mitochondrial",0.274437934110439,0.0666225577676496
"276","PVALB","Parvalbumin alpha",0.273775746479149,0.456925958419031
"277","DNAH7","Dynein axonemal heavy chain 7",0.27307053319735,0.592290404597245
"278","ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.273021179651249,0.166341613584437
"279","EEF1G","Elongation factor 1-gamma",0.272956948642856,0.00134211452943521
"280","TRPT1","tRNA 2'-phosphotransferase 1",0.272660922935803,0.339622888923041
"281","GATC","Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",0.272654642005133,0.112387485867825
"282","MRPS36","Alpha-ketoglutarate dehydrogenase component 4",0.272546615565744,0.130313078346537
"283","RPL24","60S ribosomal protein L24",0.272087408436343,0.188653162353758
"284","HSPB7","Heat shock protein beta-7",0.269852611313439,0.028670151421485
"285","UBAP2","Ubiquitin-associated protein 2",0.269411050628969,0.203359054169245
"286","GRHPR","Glyoxylate reductase/hydroxypyruvate reductase",0.26910475189233,0.0137777071087123
"287","RAB35","Ras-related protein Rab-35",0.268749584277256,0.181995993715173
"288","UBXN6","UBX domain-containing protein 6",0.268342696603737,0.407300158967346
"289","KRT6C","Keratin, type II cytoskeletal 6C",0.26825655965038,0.548000830458144
"290","SAR1B","GTP-binding protein SAR1b",0.268176249144576,0.0426195015745654
"291","RBM38","RNA-binding protein 38",0.26791098814512,0.166957016588445
"292","DNM1L","Dynamin-1-like protein",0.267553957030641,0.0206191807050944
"293","MTPN","Myotrophin",0.267244274442424,0.166341613584437
"294","OAT","Ornithine aminotransferase, mitochondrial",0.266906272220865,0.373095398314828
"295","ME1","NADP-dependent malic enzyme",0.266684135653097,0.0451954207343187
"296","HBD","Hemoglobin subunit delta",0.265739453930951,0.401321690854232
"297","HDHD2","Haloacid dehalogenase-like hydrolase domain-containing protein 2",0.265637396899667,0.0273644913430892
"298","YWHAB","14-3-3 protein beta/alpha",0.264677399238309,0.0160892802943033
"299","FH","Fumarate hydratase, mitochondrial",0.264375074242016,0.0733284434404049
"300","CAB39","Calcium-binding protein 39",0.263780079482437,0.0746150418466115
"301","RAN","GTP-binding nuclear protein Ran",0.263427962637374,0.0456833525081519
"302","MATR3","Matrin-3",0.263005532489148,0.0462420875835474
"303","UQCRH","Cytochrome b-c1 complex subunit 6, mitochondrial",0.262379550668612,0.0462420875835474
"304","ADI1","Acireductone dioxygenase",0.262270930197461,0.044614070589537
"305","SKP1","S-phase kinase-associated protein 1",0.262221457487033,0.155053543319578
"306","PDF","Peptide deformylase, mitochondrial",0.261947919216874,0.1521152325185
"307","HDHD5","Haloacid dehalogenase-like hydrolase domain-containing 5",0.261704646807711,0.134590384921214
"308","PRDX5","Peroxiredoxin-5, mitochondrial",0.261678810668872,0.0821480704417032
"309","YARS1","Tyrosine--tRNA ligase, cytoplasmic",0.261557737635972,0.0232173797131176
"310","STAT1","Signal transducer and activator of transcription 1-alpha/beta",0.261515218421113,0.0965772980136948
"311","DLAT","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",0.26134098764598,0.0632678880391921
"312","HLA-DRB1","HLA class II histocompatibility antigen, DRB1 beta chain",0.26133438133518,0.157399309758522
"313","TSFM","Elongation factor Ts, mitochondrial",0.260861026834897,0.113999630777317
"314","RPL22","60S ribosomal protein L22",0.260816720924833,0.0582773624419255
"315","SUCLG1","Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",0.259894051651091,0.157399309758522
"316","ATP2B1","Plasma membrane calcium-transporting ATPase 1",0.259566569071765,0.075472285198026
