"","Gene_name","Description","log2FC_post-pre","q-value"
"70","SMPX","Small muscular protein",0.358247693507312,0.00806723965288053
"71","ANXA1","Annexin A1",0.350273927061734,0.000329970291315112
"72","SMARCC2","SWI/SNF complex subunit SMARCC2",0.350165659062988,0.00749417959830696
"73","RHOT1","Mitochondrial Rho GTPase 1",0.349954712518532,0.000516581545943655
"74","CBR1","Carbonyl reductase [NADPH] 1",0.348484230016336,6.90643386859198e-06
"75","MYL6B","Myosin light chain 6B",0.347988316244718,0.402814154262673
"76","TUBA1B","Tubulin alpha-1B chain",0.346909368374957,0.00135464150346419
"77","SPARC","SPARC",0.343161716819402,9.66360511994295e-05
"78","COX20","Cytochrome c oxidase assembly protein COX20, mitochondrial",0.336940578187537,0.0487377011316009
"79","AKT2","RAC-beta serine/threonine-protein kinase",0.334007554099289,0.00648511967579651
"80","SRP54","Signal recognition particle 54 kDa protein",0.333389816308648,0.095168471409636
"81","GTPBP3","tRNA modification GTPase GTPBP3, mitochondrial",0.33201510081372,0.353387593276086
"82","FCGRT","IgG receptor FcRn large subunit p51",0.332008750063071,0.0186114797756945
"83","GBE1","1,4-alpha-glucan-branching enzyme",0.330147205120024,1.8187547519522e-06
"84","TUBB2A","Tubulin beta-2A chain",0.325604428217822,0.00235120430042176
"85","TUBB2B","Tubulin beta-2B chain",0.324983030064482,0.000110027120039997
"86","AKR1C3","Aldo-keto reductase family 1 member C3",0.324241291582512,0.0725167219224841
"87","ECM1","Extracellular matrix protein 1",0.32337549993183,0.0379742565715801
"88","DYNLT1","Dynein light chain Tctex-type 1",0.317252628386367,0.0119376354163627
"89","SYNC","Syncoilin",0.315942124590453,1.66105629093587e-06
"90","RILP","Rab-interacting lysosomal protein",0.31219974228234,0.0686380507101548
"91","STAU2","Double-stranded RNA-binding protein Staufen homolog 2",0.31143150203744,0.0422904850515556
"92","ANXA2","Annexin A2",0.310055919331351,1.56789406628923e-05
"93","IGKV2-28","Immunoglobulin kappa variable 2-28",0.306117639144389,0.157001502061158
"94","TPM4","Tropomyosin alpha-4 chain",0.302697434468017,0.000250663840897136
"95","AKAP12","A-kinase anchor protein 12",0.3018598987888,0.212756040480055
"96","FABP5","Fatty acid-binding protein 5",0.301733585508885,0.0466879907841045
"97","MVP","Major vault protein",0.300026109303218,0.0245171382424806
"98","EEF1A1","Elongation factor 1-alpha 1",0.297954023348394,0.000166470487126573
"99","GSTK1","Glutathione S-transferase kappa 1",0.295311951591961,0.00178457383140243
"100","LAMA4","Laminin subunit alpha-4",0.294652078329413,0.000185730586434298
"101","CLIC4","Chloride intracellular channel protein 4",0.294014733586653,0.00140930286058803
"102","COX7A2","Cytochrome c oxidase subunit 7A2, mitochondrial",0.292634194084064,0.054453190255236
"103","ECH1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",0.289402449596508,0.0268352475611107
"104","SPECC1","Cytospin-B",0.28807457073278,0.310367281354038
"105","SEPTIN7","Septin-7",0.287737358444394,0.00397750239277144
"106","UCHL5","Ubiquitin carboxyl-terminal hydrolase isozyme L5",0.287683104149117,0.261276722371596
"107","GIGYF2","GRB10-interacting GYF protein 2",0.287296419765536,0.170001485737769
"108","LGALS3","Galectin-3",0.286623167915952,0.00170227835317656
"109","RHOC","Rho-related GTP-binding protein RhoC",0.285086332753755,0.000573902929390313
"110","CTNND1","Catenin delta-1",0.284739941011345,0.109103085356568
"111","CALU","Calumenin",0.284349246166546,1.35258682719665e-06
"112","FTL","Ferritin light chain",0.284201844213175,0.130937098514155
"113","TIMMDC1","Complex I assembly factor TIMMDC1, mitochondrial",0.283253554291672,0.063051593576744
"114","CLPB","Caseinolytic peptidase B protein homolog",0.283066254866831,0.00391907188255852
"115","PROB1","Proline-rich basic protein 1",0.282701035641878,0.00206833832228376
"116","RTN3","Reticulon-3",0.281432140673706,0.00262654066070493
"117","CLIC1","Chloride intracellular channel protein 1",0.281335381936056,0.00428262390873046
"118","PDK2","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial",0.281321870015729,0.0248595371564743
"119","RAB35","Ras-related protein Rab-35",0.280497842909604,0.00793397435276925
"120","FAM98A","Protein FAM98A",0.280054695885852,0.0487377045416596
"121","HPRT1","Hypoxanthine-guanine phosphoribosyltransferase",0.278061018302914,9.66360511994295e-05
"122","ITPA","Inosine triphosphate pyrophosphatase",0.277717440109694,0.0123425900690995
"123","TOMM20","Mitochondrial import receptor subunit TOM20 homolog",0.277436127011061,0.0302179555524328
"124","UBL4A","Ubiquitin-like protein 4A",0.27535863392638,0.132286956521382
"125","SLC2A4","Solute carrier family 2, facilitated glucose transporter member 4",0.273673469899832,0.00399033033828199
"126","AP1M1","AP-1 complex subunit mu-1",0.272456145160893,0.00907356536266952
"127","POR","NADPH--cytochrome P450 reductase",0.27124238168596,0.0148463318916903
"128","SMIM11","Small integral membrane protein 11",0.270684010969852,0.116458210982662
"129","CLPP","ATP-dependent Clp protease proteolytic subunit, mitochondrial",0.268701688952294,3.32899412010063e-05
"130","TMSB4X","Thymosin beta-4",0.265156890700974,0.0131556526092673
"131","DES","Desmin",0.264577000521552,1.43618333650404e-05
"132","SLC25A5","ADP/ATP translocase 2",0.263316590057842,0.161139339253233
"133","DYNLT3","Dynein light chain Tctex-type 3",0.263040355640937,0.0377945315746626
"134","PPP1R3D","Protein phosphatase 1 regulatory subunit 3D",0.262163635454099,0.150030302190474
"135","CDK5","Cyclin-dependent kinase 5",0.262091213808658,0.000235423943430488
"136","MRC2","C-type mannose receptor 2",0.261644304080882,0.0470699909089923
"137","REEP5","Receptor expression-enhancing protein 5",0.261264660533417,3.48602702470557e-05
"138","IDH3A","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",0.260872990799236,1.57420828417819e-05
"139","DYNC1LI2","Cytoplasmic dynein 1 light intermediate chain 2",0.260347672329292,0.0059564746047789
"140","PSME2","Proteasome activator complex subunit 2",0.25974733504861,0.0101483038956432
"141","TXNDC5","Thioredoxin domain-containing protein 5",0.259158360252322,0.000166042747213018
"142","MYH10","Myosin-10",0.258524140617398,0.000110907498775968
"143","COX11","Cytochrome c oxidase assembly protein COX11, mitochondrial",0.257997263260478,0.104830565029726
"144","MOGS","Mannosyl-oligosaccharide glucosidase",0.25736479909405,0.00383494967146708
"145","TPD52","Tumor protein D52",0.254941185135316,0.0881176733232572
"146","OSBPL11","Oxysterol-binding protein-related protein 11",0.253917993679199,0.340176425012836
"147","MYOZ2","Myozenin-2",0.252119060298222,0.472938091588722
"148","CTSC","Dipeptidyl peptidase 1",0.251876636437656,0.171721035217222
"149","S100A11","Protein S100-A11",0.251480820161451,0.0843857167889906
"150","PTCD3","Pentatricopeptide repeat domain-containing protein 3, mitochondrial",0.251206732964445,0.00533998294136546
"151","HSPB3","Heat shock protein beta-3",0.251062285111932,0.000944471413806251
"152","MMRN2","Multimerin-2",0.25068220378637,0.165191684237961
"153","NPEPL1","Probable aminopeptidase NPEPL1",0.248355928627369,2.49812712282015e-06
"154","EGFLAM","Pikachurin",0.248224984794845,0.0318145326183554
"155","ZNF512","Zinc finger protein 512",0.248098214617171,0.139123874372237
"156","NASP","Nuclear autoantigenic sperm protein",0.247595692713281,0.0466879907841045
"157","APOL2","Apolipoprotein L2",0.246281437335025,0.115207709201771
"158","HMOX2","Heme oxygenase 2",0.245663330721618,8.24236717383808e-06
"159","PELO","Protein pelota homolog",0.244553136261231,0.0321220275690944
"160","IDH3B","Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",0.244359168280836,2.72549175454537e-05
"161","ANKRD2","Ankyrin repeat domain-containing protein 2",0.243552690565636,0.0819449723521799
"162","ENDOG","Endonuclease G, mitochondrial",0.243449563071403,0.00639532636118623
"163","COL6A3","Collagen alpha-3(VI) chain",0.243432399399666,0.00476509923518684
"164","ACTG1","Actin, cytoplasmic 2",0.243201897730355,0.202599150781215
"165","LAP3","Cytosol aminopeptidase",0.242374625170577,0.00170227835317656
"166","ARPC4","Actin-related protein 2/3 complex subunit 4",0.242096292893224,0.0166908594914214
"167","ACTR3","Actin-related protein 3",0.240603073388515,0.000944471413806251
"168","NTMT1","N-terminal Xaa-Pro-Lys N-methyltransferase 1",0.240400188618654,0.0765488843245226
"169","GSTT2","Glutathione S-transferase theta-2",0.239996233957813,0.331907868351941
"170","PSMB8","Proteasome subunit beta type-8",0.238647591000314,0.137775065117762
"171","MRPL19","39S ribosomal protein L19, mitochondrial",0.237660783017562,0.0209577928008769
"172","NBAS","NBAS subunit of NRZ tethering complex",0.237589581721958,0.110552258567268
"173","NUDT19","Acyl-coenzyme A diphosphatase NUDT19",0.235330726517443,0.00911943330910249
"174","NCSTN","Nicastrin",0.234183066473177,0.114251280137761
"175","SHMT2","Serine hydroxymethyltransferase, mitochondrial",0.232605341361905,0.0002286009864551
"176","ARG1","Arginase-1",0.231795700058495,0.203757014777684
"177","ME2","NAD-dependent malic enzyme, mitochondrial",0.231546490020007,0.173504386645584
"178","KLHL41","Kelch-like protein 41",0.231320556809564,0.000110027120039997
"179","COL6A2","Collagen alpha-2(VI) chain",0.231270530621149,0.00881610627420444
"180","MRPL4","39S ribosomal protein L4, mitochondrial",0.22987365986052,0.036949647172315
"181","TIMM44","Mitochondrial import inner membrane translocase subunit TIM44",0.228697277330749,0.00442968452999575
"182","LASP1","LIM and SH3 domain protein 1",0.227911345291908,0.00505889185682303
"183","VAT1","Synaptic vesicle membrane protein VAT-1 homolog",0.225856073859033,0.019738199970503
"184","COL6A1","Collagen alpha-1(VI) chain",0.225165825658733,0.0101766080619788
"185","TPPP3","Tubulin polymerization-promoting protein family member 3",0.224018000646419,0.0782763090656605
"186","BOLA2B","BolA-like protein 2",0.22328301493441,0.00685913263059253
"187","TMEM43","Transmembrane protein 43",0.223158524067349,0.00178457383140243
"188","CAPN2","Calpain-2 catalytic subunit",0.222914153127713,1.8187547519522e-06
"189","LAMP1","Lysosome-associated membrane glycoprotein 1",0.222625202139605,0.199549686708548
"190","TAGLN2","Transgelin-2",0.22250865137865,0.00120246477745278
"191","DPP3","Dipeptidyl peptidase 3",0.222439141746323,0.000656582420307434
"192","PREB","Prolactin regulatory element-binding protein",0.222357311897659,0.00293965448574813
"193","HSPB7","Heat shock protein beta-7",0.221589751344531,0.00052559439196828
"194","MICU2","Calcium uptake protein 2, mitochondrial",0.221315400491113,0.152246354870072
"195","FAHD2A","Fumarylacetoacetate hydrolase domain-containing protein 2A",0.220247261176089,0.0165409673481353
"196","CKAP4","Cytoskeleton-associated protein 4",0.219695923534182,0.0567140154240457
"197","SYNPO2","Synaptopodin-2",0.216478629710281,0.000185730586434298
"198","PRKAA1","5'-AMP-activated protein kinase catalytic subunit alpha-1",0.216148476983264,0.0196940594205648
"199","CREG1","Protein CREG1",0.214138756320645,0.267583032058823
"200","ARPC1A","Actin-related protein 2/3 complex subunit 1A",0.212790570609993,0.0760825342717993
"201","EPHX1","Epoxide hydrolase 1",0.21278844478638,0.057606146462263
"202","PPP1R12B","Protein phosphatase 1 regulatory subunit 12B",0.212262495280454,0.00282822112920326
"203","ARPC1B","Actin-related protein 2/3 complex subunit 1B",0.212046117519463,0.0327875495061775
"204","PDK1","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial",0.211940400891253,0.0467230412089098
"205","EPS15L1","Epidermal growth factor receptor substrate 15-like 1",0.211123854502873,0.132762374333151
"206","ARHGAP1","Rho GTPase-activating protein 1",0.210619958791689,0.00608349028463996
"207","MAPT","Microtubule-associated protein tau",0.210320847216579,0.019188142324133
"208","ACY1","Aminoacylase-1",0.210033393006665,0.000185730586434298
"209","TUBB","Tubulin beta chain",0.209531741289823,6.35572159880109e-05
"210","PURB","Transcriptional activator protein Pur-beta",0.209267494066996,0.00293965448574813
"211","MSN","Moesin",0.209226995441224,1.8187547519522e-06
"212","CSPG4","Chondroitin sulfate proteoglycan 4",0.208980543876347,0.0362790745380427
"213","GLUD1","Glutamate dehydrogenase 1, mitochondrial",0.20873243167356,1.47685532169298e-05
"214","TOMM40","Mitochondrial import receptor subunit TOM40 homolog",0.207505430590469,0.0547653724391893
"215","HSPB2","Heat shock protein beta-2",0.206927702500916,0.000642815482378214
"216","CRIP1","Cysteine-rich protein 1",0.206790462868659,0.068773590494118
"217","ACSS3","Acyl-CoA synthetase short-chain family member 3, mitochondrial",0.206587439570011,0.0894550639233283
"218","SIL1","Nucleotide exchange factor SIL1",0.206435209843649,0.0768858831525581
"219","INTU","Protein inturned",0.206301947314287,0.378942010288713
"220","ARFIP1","Arfaptin-1",0.206102643244344,0.182346050328282
"221","METAP1","Methionine aminopeptidase 1",0.206078705450739,0.0128879655543829
"222","HSPE1","10 kDa heat shock protein, mitochondrial",0.204693342080517,0.00329731280260756
"223","RPS13","40S ribosomal protein S13",0.204306730381951,0.0768858831525581
"224","COLGALT1","Procollagen galactosyltransferase 1",0.204268343085326,0.223106975048931
"225","MRPS17","28S ribosomal protein S17, mitochondrial",0.203703395253248,0.0566757400485266
"226","MRPL3","39S ribosomal protein L3, mitochondrial",0.202784334820988,0.0573214269967759
"227","RAB4A","Ras-related protein Rab-4A",0.202251578871746,0.0375952290425168
"228","CASQ2","Calsequestrin-2",0.201759315204097,0.329386007403526
"229","COPA","Coatomer subunit alpha",0.201092931931216,0.00722418512742858
"230","EIF6","Eukaryotic translation initiation factor 6",0.199152900931255,0.0473104742284862
"231","TBCE","Tubulin-specific chaperone E",0.198770399371037,0.0298902699029533
"232","TM9SF3","Transmembrane 9 superfamily member 3",0.198326601241277,0.1300406107463
"233","KIAA1217","Sickle tail protein homolog",0.197511793645516,0.0551035508909206
"234","MRPS22","28S ribosomal protein S22, mitochondrial",0.197444062613627,0.0256188359812865
"235","VWA1","von Willebrand factor A domain-containing protein 1",0.197346864622444,0.099417999318961
"236","AIP","AH receptor-interacting protein",0.197260410728138,0.145970147564996
"237","SEPTIN9","Septin-9",0.196580119304704,0.194826956001631
"238","PLIN3","Perilipin-3",0.196297619928332,0.00789153325344403
"239","GATD3B","Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",0.195448608563217,0.0477425925331588
"240","IDH3G","Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",0.195411512968962,0.000166042747213018
"241","LNPEP","Leucyl-cystinyl aminopeptidase",0.194124998508777,0.0838844074853384
"242","UBXN6","UBX domain-containing protein 6",0.194121941454645,0.248640087293819
"243","HYOU1","Hypoxia up-regulated protein 1",0.193167275024235,0.000185730586434298
"244","GLS","Glutaminase kidney isoform, mitochondrial",0.193145494135718,0.107787375348441
"245","PTMS","Parathymosin",0.192718790379489,0.0571761631225836
"246","TBRG4","FAST kinase domain-containing protein 4",0.192514437239465,0.0209573102776494
"247","NDUFA4","Cytochrome c oxidase subunit NDUFA4",0.192021160154031,0.0870482635124864
"248","KRT6C","Keratin, type II cytoskeletal 6C",0.191952625143447,0.477721930642829
"249","PRRC1","Protein PRRC1",0.191527888897232,0.0825029999410015
"250","TBCEL","Tubulin-specific chaperone cofactor E-like protein",0.191298016356313,0.26245996735416
"251","GADD45GIP1","Growth arrest and DNA damage-inducible proteins-interacting protein 1",0.191241058980802,0.0416127281896494
"252","ALDOC","Fructose-bisphosphate aldolase C",0.191220043693729,0.269834048263294
"253","MRPS35","28S ribosomal protein S35, mitochondrial",0.190595396283088,0.116300674082343
"254","CACYBP","Calcyclin-binding protein",0.190383828414982,0.00269069252962164
"255","FNTB","Protein farnesyltransferase subunit beta",0.190255721622586,0.0680860501916392
"256","HSD17B8","(3R)-3-hydroxyacyl-CoA dehydrogenase",0.189862965990553,0.0896327351327264
"257","DHRS7","Dehydrogenase/reductase SDR family member 7",0.189805788531419,0.0245540089046873
"258","ABHD5","1-acylglycerol-3-phosphate O-acyltransferase ABHD5",0.189735896393019,0.194826956001631
"259","LTBP4","Latent-transforming growth factor beta-binding protein 4",0.189355406849302,0.125034544870031
"260","ACSS1","Acetyl-coenzyme A synthetase 2-like, mitochondrial",0.189155984280305,0.300517455011019
"261","CRIP2","Cysteine-rich protein 2",0.189041412416616,0.0388361417016133
"262","CHMP4B","Charged multivesicular body protein 4b",0.188905113122461,0.24643896457171
"263","S100A7","Protein S100-A7",0.188626198097651,0.3942655719451
"264","PPP2R5A","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",0.188568743698548,0.0235757183593174
"265","EVI5L","EVI5-like protein",0.18790132626884,0.292695982695675
"266","MANF","Mesencephalic astrocyte-derived neurotrophic factor",0.186758361685778,0.18166104729787
"267","BRAWNIN","Protein BRAWNIN",0.186115442160956,0.0859904126294481
"268","BSG","Basigin",0.186020911752285,0.00939679059406092
"269","NRP1","Neuropilin-1",0.185930917418109,0.218849085835317
"270","ABHD11","Protein ABHD11",0.18573647475816,0.0499298108058632
"271","PTRH2","Peptidyl-tRNA hydrolase 2, mitochondrial",0.185701132728992,0.019188142324133
"272","AKAP2","A-kinase anchor protein 2",0.185573757739116,0.223106975048931
"273","CTSB","Cathepsin B",0.184834577975739,0.00628036938586902
"274","PGM5","Phosphoglucomutase-like protein 5",0.184815090437667,0.284340387321535
"275","VPS45","Vacuolar protein sorting-associated protein 45",0.184395723789923,0.0490853680191543
"276","FBN1","Fibrillin-1",0.183983861022151,0.39682727620023
"277","FSCN1","Fascin",0.183581690817984,0.212506084447784
"278","HSPB1","Heat shock protein beta-1",0.183466219084398,0.0153394810394488
"279","EHBP1L1","EH domain-binding protein 1-like protein 1",0.183088315964151,0.00397750239277144
"280","NDUFB1","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1",0.182754800838596,0.255467942134588
"281","DTYMK","Thymidylate kinase",0.182713879606714,0.139123874372237
"282","TSTD1","Thiosulfate:glutathione sulfurtransferase",0.181993832996659,0.170191230017795
"283","CORO6","Coronin-6",0.181643449549231,0.000682013914602539
"284","MYOT","Myotilin",0.180632463965328,0.0598279016163621
"285","ORAI1","Calcium release-activated calcium channel protein 1",0.18011146586576,0.131515425514775
"286","LGALS3BP","Galectin-3-binding protein",0.180060793675464,0.325395148539314
"287","MCEE","Methylmalonyl-CoA epimerase, mitochondrial",0.179963532078514,0.177753420821691
"288","SMTN","Smoothelin",0.17995149794535,0.0768858831525581
"289","FAM114A1","Protein NOXP20",0.179941275730449,0.349703808450181
"290","ECI2","Enoyl-CoA delta isomerase 2",0.179589315124188,0.186421198375451
"291","RASA4","Ras GTPase-activating protein 4",0.17922909998458,0.112007282650258
"292","RPA3","Replication protein A 14 kDa subunit",0.178699189126723,0.0209573102776494
"293","TRPT1","tRNA 2'-phosphotransferase 1",0.17869359979621,0.213257778795006
"294","NACA","Nascent polypeptide-associated complex subunit alpha, muscle-specific form",0.177895157922901,0.0259356368023451
"295","SMTNL2","Smoothelin-like protein 2",0.17786280235182,0.0508140990904489
"296","RCN3","Reticulocalbin-3",0.177099293979719,0.207166237820343
"297","ADGRE5","Adhesion G protein-coupled receptor E5",0.176782174083801,0.264841106126281
"298","EIPR1","EARP and GARP complex-interacting protein 1",0.176319670304807,0.115907320452588
"299","CMC1","COX assembly mitochondrial protein homolog",0.176073129897409,0.0739002934629406
"300","SMS","Spermine synthase",0.175789410388507,0.00318034585201342
"301","ITGAV","Integrin alpha-V",0.175625490961938,0.0944932191806716
"302","MLF2","Myeloid leukemia factor 2",0.175212949501603,0.284610781699512
"303","ATP1B1","Sodium/potassium-transporting ATPase subunit beta-1",0.175057614095566,0.00609780861104336
"304","NDUFV3","NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",0.17498026909381,0.172770806454128
"305","MTIF2","Translation initiation factor IF-2, mitochondrial",0.174951821855842,0.189300100919592
"306","ARHGEF6","Rho guanine nucleotide exchange factor 6",0.174883944584341,0.203469149392272
"307","HSD17B10","3-hydroxyacyl-CoA dehydrogenase type-2",0.174303574701549,0.057606146462263
"308","AGRN","Agrin",0.173892097626029,0.136952698827096
"309","PLXDC2","Plexin domain-containing protein 2",0.173777312323319,0.305624400850549
"310","PSME1","Proteasome activator complex subunit 1",0.173619522626966,0.00273781262519141
"311","CAMK2B","Calcium/calmodulin-dependent protein kinase type II subunit beta",0.173120865772677,2.58611065410035e-05
"312","TFRC","Transferrin receptor protein 1",0.173041700933943,0.19050246372885
"313","UAP1L1","UDP-N-acetylhexosamine pyrophosphorylase-like protein 1",0.172974341846659,0.140085879184293
"314","CLTB","Clathrin light chain B",0.172897363368904,0.00391907188255852
"315","PFN2","Profilin-2",0.172780598810842,0.0480598696039796
"316","ERO1A","ERO1-like protein alpha",0.172455100930398,0.0278708147864352
"317","ATP5ME","ATP synthase subunit e, mitochondrial",0.172246385917045,0.200069835115292
"318","ACTN4","Alpha-actinin-4",0.172179065178783,0.00227351851573936
"319","VAMP5","Vesicle-associated membrane protein 5",0.172114383216879,0.107145665230521
"320","NDUFAF7","Protein arginine methyltransferase NDUFAF7, mitochondrial",0.171825236095223,0.077908120486577
"321","CAPNS1","Calpain small subunit 1",0.171209000605261,0.0166825430875365
"322","MEMO1","Protein MEMO1",0.170818164444047,0.00383494967146708
"323","NUBPL","Iron-sulfur protein NUBPL",0.170615510986242,0.1275705935243
"324","HOMER2","Homer protein homolog 2",0.170550547194635,0.0438372953369893
"325","TMEM11","Transmembrane protein 11, mitochondrial",0.16976396369734,0.00911943330910249
"326","SIAE","Sialate O-acetylesterase",0.169371321373118,0.0859597590492801
"327","DYNC1LI1","Cytoplasmic dynein 1 light intermediate chain 1",0.169296284025791,0.00533998294136546
"328","PRKAB2","5'-AMP-activated protein kinase subunit beta-2",0.169268508812628,0.000247325955755562
"329","ATP5MK","ATP synthase membrane subunit K, mitochondrial",0.16898074347845,0.115155184388231
"330","CYB5R1","NADH-cytochrome b5 reductase 1",0.168864783138789,0.30639581393423
"331","THBS4","Thrombospondin-4",0.168737733228753,0.160012907131645
"332","HTATSF1","HIV Tat-specific factor 1",0.168188287060909,0.151658204503295
"333","PPP2R5D","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform",0.168184506970748,0.00533998294136546
"334","ACTR1B","Beta-centractin",0.167883916674162,0.133934728876325
"335","MARCKS","Myristoylated alanine-rich C-kinase substrate",0.167704473542479,0.258176398122149
