"","Gene_name","Description","log2FC_male-female","q-value","fiber_type"
"96","CDC5L","Cell division cycle 5-like protein",0.38506160659932,0.409192125130387,"type_1"
"97","CMC2","COX assembly mitochondrial protein 2 homolog",0.384657201349931,0.264449556489203,"type_1"
"98","GSTM4","Glutathione S-transferase Mu 4",0.384490617697585,0.55096847163562,"type_1"
"99","DNAJA4","DnaJ homolog subfamily A member 4",0.384054631913786,0.20520256349422,"type_1"
"100","PRR33","Proline-rich protein 33",0.383994339781172,0.185412359177389,"type_1"
"101","HAX1","HCLS1-associated protein X-1",0.383269330586744,0.373602267154951,"type_1"
"102","GSTT1","Glutathione S-transferase theta-1",0.381763558878252,0.525924086764073,"type_1"
"103","TAPT1","Transmembrane anterior posterior transformation protein 1 homolog",0.380777585574911,0.611356494645403,"type_1"
"104","HBD","Hemoglobin subunit delta",0.379504282424698,0.600185737720881,"type_1"
"105","HINT2","Adenosine 5'-monophosphoramidase HINT2",0.3788877062072,0.0693451647710662,"type_1"
"106","MRPL48","39S ribosomal protein L48, mitochondrial",0.37802485400233,0.267132055199581,"type_1"
"107","ENDOG","Endonuclease G, mitochondrial",0.377490254761392,0.185412359177389,"type_1"
"108","IDI1","Isopentenyl-diphosphate Delta-isomerase 1",0.377134568513119,0.16396439838033,"type_1"
"109","RPS7","40S ribosomal protein S7",0.37620890784318,0.378620333884819,"type_1"
"110","MRPS34","28S ribosomal protein S34, mitochondrial",0.374047359388205,0.202088288495721,"type_1"
"111","TXNRD2","Thioredoxin reductase 2, mitochondrial",0.372800899371313,0.162476985607609,"type_1"
"112","HLA-DRB5","HLA class II histocompatibility antigen, DR beta 5 chain",0.370615613824544,0.460373379237395,"type_1"
"113","RPS29","40S ribosomal protein S29",0.369898746186557,0.337099256538184,"type_1"
"114","PLXDC2","Plexin domain-containing protein 2",0.369049868694598,0.560182986303947,"type_1"
"115","NDUFB1","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1",0.368478664259159,0.443162343878842,"type_1"
"116","ATP5ME","ATP synthase subunit e, mitochondrial",0.367626014247282,0.454516280487836,"type_1"
"117","CBR4","3-oxoacyl-[acyl-carrier-protein] reductase",0.365909009942554,0.185412359177389,"type_1"
"118","SUOX","Sulfite oxidase, mitochondrial",0.365390393564139,0.16396439838033,"type_1"
"119","GSTK1","Glutathione S-transferase kappa 1",0.364862078266636,0.123681874332315,"type_1"
"120","C6orf136","Uncharacterized protein C6orf136",0.364109112090638,0.427371762482106,"type_1"
"121","NDUFA4","Cytochrome c oxidase subunit NDUFA4",0.363513347326304,0.316319544547774,"type_1"
"122","ARPC5L","Actin-related protein 2/3 complex subunit 5-like protein",0.363496046863332,0.294436301487839,"type_1"
"123","AK3","GTP:AMP phosphotransferase AK3, mitochondrial",0.360445709199899,0.332424254666981,"type_1"
"124","ETFDH","Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",0.359978932221052,0.185412359177389,"type_1"
"125","ADHFE1","Hydroxyacid-oxoacid transhydrogenase, mitochondrial",0.358600762827423,0.359519420677216,"type_1"
"126","IBA57","Putative transferase CAF17, mitochondrial",0.35859347481316,0.0654713150000292,"type_1"
"127","MRPL13","39S ribosomal protein L13, mitochondrial",0.357000903059811,0.202088288495721,"type_1"
"128","RPS13","40S ribosomal protein S13",0.356832039203741,0.298600163349835,"type_1"
"129","AGPS","Alkyldihydroxyacetonephosphate synthase, peroxisomal",0.355828806196236,0.162476985607609,"type_1"
"130","SUGP2","SURP and G-patch domain-containing protein 2",0.354945292982972,0.294436301487839,"type_1"
"131","NAMPT","Nicotinamide phosphoribosyltransferase",0.354785351401508,0.0267957562964742,"type_1"
"132","CYB5R1","NADH-cytochrome b5 reductase 1",0.351257387134449,0.107722126676628,"type_1"
"133","COX6C","Cytochrome c oxidase subunit 6C",0.350038597669361,0.454516280487836,"type_1"
"134","NTMT1","N-terminal Xaa-Pro-Lys N-methyltransferase 1",0.348297919930598,0.118766185332417,"type_1"
"135","DCAF8","DDB1- and CUL4-associated factor 8",0.347675537664857,0.196426916982645,"type_1"
"136","BMS1","Ribosome biogenesis protein BMS1 homolog",0.346934840028998,0.545415948027541,"type_1"
"137","COX6A2","Cytochrome c oxidase subunit 6A2, mitochondrial",0.346606795029647,0.232466925410348,"type_1"
"138","GNL1","Guanine nucleotide-binding protein-like 1",0.346366242782121,0.337099256538184,"type_1"
"139","GLRX5","Glutaredoxin-related protein 5, mitochondrial",0.344737691348676,0.299776539956375,"type_1"
"140","NIT1","Deaminated glutathione amidase",0.342982167425131,0.202088288495721,"type_1"
"141","SDHB","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",0.340934770703349,0.0693451647710662,"type_1"
"142","PTCD3","Pentatricopeptide repeat domain-containing protein 3, mitochondrial",0.340905992071971,0.174799488583014,"type_1"
"143","SEL1L3","Protein sel-1 homolog 3",0.340905515475299,0.497658777470501,"type_1"
"144","ATP5PO","ATP synthase subunit O, mitochondrial",0.340354087206432,0.298600163349835,"type_1"
"145","CYC1","Cytochrome c1, heme protein, mitochondrial",0.340353730790252,0.27761422348097,"type_1"
"146","HLA-A","HLA class I histocompatibility antigen, A alpha chain",0.340067871513211,0.20520256349422,"type_1"
"147","TSTD1","Thiosulfate:glutathione sulfurtransferase",0.339999685794783,0.486726197769695,"type_1"
"148","GLS","Glutaminase kidney isoform, mitochondrial",0.339593383349088,0.434400712811039,"type_1"
"149","RILP","Rab-interacting lysosomal protein",0.339332570577753,0.525924086764073,"type_1"
"150","CA1","Carbonic anhydrase 1",0.337776324081478,0.611775438762262,"type_1"
"151","CNST","Consortin",0.336406914742,0.354442870555018,"type_1"
"152","INTU","Protein inturned",0.335648457066368,0.608014937235429,"type_1"
"153","PPP1R3D","Protein phosphatase 1 regulatory subunit 3D",0.33378610173169,0.454516280487836,"type_1"
"154","NQO2","Ribosyldihydronicotinamide dehydrogenase [quinone]",0.333485117951758,0.666609090076324,"type_1"
"155","NHLRC2","NHL repeat-containing protein 2",0.33288075328929,0.162476985607609,"type_1"
"156","CROCC","Rootletin",0.332700276954339,0.693499676715503,"type_1"
"157","MRPL12","39S ribosomal protein L12, mitochondrial",0.332383631963529,0.267132055199581,"type_1"
"158","GSTZ1","Maleylacetoacetate isomerase",0.332359938552383,0.264215719128021,"type_1"
"159","DPP3","Dipeptidyl peptidase 3",0.331881756388229,0.185412359177389,"type_1"
"160","NDUFAF7","Protein arginine methyltransferase NDUFAF7, mitochondrial",0.331401081737061,0.359868005306796,"type_1"
"161","ACADM","Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",0.330372001346458,0.221501309041648,"type_1"
"162","UQCRQ","Cytochrome b-c1 complex subunit 8",0.329656320297138,0.264449556489203,"type_1"
"163","GLTP","Glycolipid transfer protein",0.329522133746087,0.264449556489203,"type_1"
"164","GATC","Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial",0.328975168223593,0.267132055199581,"type_1"
"165","PGM5","Phosphoglucomutase-like protein 5",0.328406105135041,0.217599472825498,"type_1"
"166","NMNAT1","Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1",0.327939169673723,0.564189348344071,"type_1"
"167","CA8","Carbonic anhydrase-related protein",0.327685249398991,0.590744189237062,"type_1"
"168","TSNAX","Translin-associated protein X",0.327604551759665,0.35269515045809,"type_1"
"169","PARVB","Beta-parvin",0.327569519294244,0.326800201213921,"type_1"
"170","HRAS","GTPase HRas",0.326952670284667,0.619794792695112,"type_1"
"171","EIF3G","Eukaryotic translation initiation factor 3 subunit G",0.325861537500161,0.185412359177389,"type_1"
"172","SPRYD4","SPRY domain-containing protein 4",0.325454592350763,0.409192125130387,"type_1"
"173","LYPLAL1","Lysophospholipase-like protein 1",0.325251457663256,0.160539524325238,"type_1"
"174","CDK5","Cyclin-dependent kinase 5",0.324934352456781,0.202088288495721,"type_1"
"175","MYL9","Myosin regulatory light polypeptide 9",0.324340137920558,0.298600163349835,"type_1"
"176","UBTF","Nucleolar transcription factor 1",0.324229266081227,0.458770250795624,"type_1"
"177","MYOZ2","Myozenin-2",0.324055027136858,0.460373379237395,"type_1"
"178","LACTB2","Endoribonuclease LACTB2",0.323007573106432,0.336386639078927,"type_1"
"179","RNF7","RING-box protein 2",0.321474034037292,0.586118512143151,"type_1"
"180","COX5B","Cytochrome c oxidase subunit 5B, mitochondrial",0.320792267907883,0.192062424039158,"type_1"
"181","RAB4A","Ras-related protein Rab-4A",0.319511213742635,0.338325555831605,"type_1"
"182","PPIL1","Peptidyl-prolyl cis-trans isomerase-like 1",0.318797329251762,0.450225370745291,"type_1"
"183","MRPL3","39S ribosomal protein L3, mitochondrial",0.318431375922232,0.455966868843748,"type_1"
"184","COA7","Cytochrome c oxidase assembly factor 7",0.318393347553043,0.185412359177389,"type_1"
"185","TRMT10C","tRNA methyltransferase 10 homolog C",0.316654726706162,0.197751991652751,"type_1"
"186","SIAE","Sialate O-acetylesterase",0.316029460297358,0.391683179016672,"type_1"
"187","RPS19","40S ribosomal protein S19",0.314513345758234,0.361396260588861,"type_1"
"188","COX5A","Cytochrome c oxidase subunit 5A, mitochondrial",0.312604156488824,0.248777524627818,"type_1"
"189","ATP6V0D1","V-type proton ATPase subunit d 1",0.309871430514987,0.486445435620123,"type_1"
"190","CASP3","Caspase-3",0.309542823190011,0.333482430513077,"type_1"
"191","PDP1","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial",0.308952629896782,0.162476985607609,"type_1"
"192","PTGR1","Prostaglandin reductase 1",0.308444796286727,0.391683179016672,"type_1"
"193","FUCA1","Tissue alpha-L-fucosidase",0.308222845933347,0.564189348344071,"type_1"
"194","SDHA","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",0.307257673900594,0.077287705768798,"type_1"
"195","PTGES2","Prostaglandin E synthase 2",0.306217579446329,0.118766185332417,"type_1"
"196","HNRNPR","Heterogeneous nuclear ribonucleoprotein R",0.306215456999178,0.460373379237395,"type_1"
"197","FAM136A","Protein FAM136A",0.304226584350904,0.376070050994896,"type_1"
"198","SEPHS2","Selenide, water dikinase 2",0.302667461053732,0.287579440672601,"type_1"
"199","GOT2","Aspartate aminotransferase, mitochondrial",0.301661829224766,0.202088288495721,"type_1"
"200","TUBB2B","Tubulin beta-2B chain",0.301281144864367,0.376070050994896,"type_1"
"201","GMPPB","Mannose-1-phosphate guanyltransferase beta",0.301124380178516,0.371242413117452,"type_1"
"202","ME2","NAD-dependent malic enzyme, mitochondrial",0.300744349563416,0.202088288495721,"type_1"
"203","MRPL38","39S ribosomal protein L38, mitochondrial",0.300167027881436,0.264449556489203,"type_1"
"204","ACTR1B","Beta-centractin",0.299745139883729,0.479283687546083,"type_1"
"205","COQ10A","Coenzyme Q-binding protein COQ10 homolog A, mitochondrial",0.299471353927901,0.185412359177389,"type_1"
"206","G6PD","Glucose-6-phosphate 1-dehydrogenase",0.298511080887765,0.716138848605686,"type_1"
"207","PRRC1","Protein PRRC1",0.29833489074394,0.507721054141479,"type_1"
"208","CLIC1","Chloride intracellular channel protein 1",0.298219574118713,0.371242413117452,"type_1"
"209","MRPL53","39S ribosomal protein L53, mitochondrial",0.296632124820338,0.294436301487839,"type_1"
"210","DDX19A","ATP-dependent RNA helicase DDX19A",0.296510973829516,0.40761405549502,"type_1"
"211","S100A1","Protein S100-A1",0.296160382043777,0.185412359177389,"type_1"
"212","ARHGDIB","Rho GDP-dissociation inhibitor 2",0.295432920220055,0.298600163349835,"type_1"
"213","RBKS","Ribokinase",0.295093332866239,0.539816375503994,"type_1"
"214","ARMC10","Armadillo repeat-containing protein 10",0.293389178963219,0.539816375503994,"type_1"
"215","RPS15A","40S ribosomal protein S15a",0.293333375792425,0.333482430513077,"type_1"
"216","AUH","Methylglutaconyl-CoA hydratase, mitochondrial",0.29213534022799,0.206384906307588,"type_1"
"217","ENO2","Gamma-enolase",0.291904910368011,0.264449556489203,"type_1"
"218","ILF2","Interleukin enhancer-binding factor 2",0.291229519106595,0.570793663355309,"type_1"
"219","UQCR10","Cytochrome b-c1 complex subunit 9",0.290833880389794,0.482874502240823,"type_1"
"220","SSBP1","Single-stranded DNA-binding protein, mitochondrial",0.290770444864329,0.324381678259969,"type_1"
"221","TIMM8A","Mitochondrial import inner membrane translocase subunit Tim8 A",0.290633811935717,0.264449556489203,"type_1"
"222","CLPB","Caseinolytic peptidase B protein homolog",0.289911183943893,0.426901591733571,"type_1"
"223","IFITM3","Interferon-induced transmembrane protein 3",0.28970725623873,0.37174432021566,"type_1"
"224","RBM38","RNA-binding protein 38",0.287901191284995,0.384311778409293,"type_1"
"225","ME1","NADP-dependent malic enzyme",0.287722281499025,0.224470229529256,"type_1"
"226","NDUFA2","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2",0.287632929487884,0.307344435330036,"type_1"
"227","GSK3B","Glycogen synthase kinase-3 beta",0.287547687723929,0.316254848835651,"type_1"
"228","SUPV3L1","ATP-dependent RNA helicase SUPV3L1, mitochondrial",0.286734586742588,0.418730678899026,"type_1"
"229","AFG1L","AFG1-like ATPase",0.28622322121681,0.546665659241228,"type_1"
"230","COQ8A","Atypical kinase COQ8A, mitochondrial",0.285193665865609,0.171412294542674,"type_1"
"231","CHD2","Chromodomain-helicase-DNA-binding protein 2",0.283901124082041,0.620714724408151,"type_1"
"232","RPS9","40S ribosomal protein S9",0.282776490307677,0.517477033563527,"type_1"
"233","LGALS3","Galectin-3",0.281880246637618,0.40761405549502,"type_1"
"234","DBI","Acyl-CoA-binding protein",0.281128702786386,0.383145693049651,"type_1"
"235","DECR1","2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial",0.281078231953174,0.264449556489203,"type_1"
"236","SLC4A1","Band 3 anion transport protein",0.28081964520403,0.671008429954317,"type_1"
"237","GRHPR","Glyoxylate reductase/hydroxypyruvate reductase",0.280316173869982,0.201056764270819,"type_1"
"238","NT5C","5'(3')-deoxyribonucleotidase, cytosolic type",0.28020737830602,0.302275843081524,"type_1"
"239","ACE","Angiotensin-converting enzyme",0.279583881911297,0.390023065576227,"type_1"
"240","UQCRH","Cytochrome b-c1 complex subunit 6, mitochondrial",0.279032630263462,0.162476985607609,"type_1"
"241","HBB","Hemoglobin subunit beta",0.278936045177296,0.619794792695112,"type_1"
"242","PRDX5","Peroxiredoxin-5, mitochondrial",0.278093274318838,0.207514085732426,"type_1"
"243","ATP6V1A","V-type proton ATPase catalytic subunit A",0.277186575843771,0.171412294542674,"type_1"
"244","BCKDHB","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial",0.27666060962061,0.450225370745291,"type_1"
"245","OAT","Ornithine aminotransferase, mitochondrial",0.276417278555604,0.536034147175516,"type_1"
"246","MRPL44","39S ribosomal protein L44, mitochondrial",0.276269836315882,0.285564578847611,"type_1"
"247","RBX1","E3 ubiquitin-protein ligase RBX1",0.276238975253216,0.361396260588861,"type_1"
"248","GPX7","Glutathione peroxidase 7",0.276010606208473,0.647346916362443,"type_1"
"249","SH3BGRL3","SH3 domain-binding glutamic acid-rich-like protein 3",0.275417605093232,0.467025680795079,"type_1"
"250","PTMA","Prothymosin alpha",0.275145095421237,0.518978862992358,"type_1"
"251","SOD2","Superoxide dismutase [Mn], mitochondrial",0.273664386953484,0.267132055199581,"type_1"
"252","PPFIA4","Liprin-alpha-4",0.273109307183425,0.539816375503994,"type_1"
"253","DUSP29","Dual specificity phosphatase 29",0.272905008791621,0.288593193231274,"type_1"
"254","ATP1A2","Sodium/potassium-transporting ATPase subunit alpha-2",0.272845771450756,0.162476985607609,"type_1"
"255","TGFB1I1","Transforming growth factor beta-1-induced transcript 1 protein",0.272009800381763,0.341031366617068,"type_1"
"256","ATP1B1","Sodium/potassium-transporting ATPase subunit beta-1",0.271554555878229,0.171412294542674,"type_1"
"257","ABCF2","ATP-binding cassette sub-family F member 2",0.270769758593641,0.484557244095669,"type_1"
"258","SMTN","Smoothelin",0.270742168263283,0.40761405549502,"type_1"
"259","CAVIN2","Caveolae-associated protein 2",0.270148780691304,0.20520256349422,"type_1"
"260","UQCRC1","Cytochrome b-c1 complex subunit 1, mitochondrial",0.269386841023771,0.202088288495721,"type_1"
"261","PHKB","Phosphorylase b kinase regulatory subunit beta",0.269251993118781,0.284730822302244,"type_1"
"262","CARD19","Caspase recruitment domain-containing protein 19",0.269026102032862,0.267132055199581,"type_1"
"263","PDHB","Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",0.268691997893004,0.202088288495721,"type_1"
"264","UBAP2","Ubiquitin-associated protein 2",0.268513557588028,0.507643720362754,"type_1"
"265","PDE12","2',5'-phosphodiesterase 12",0.267523809302658,0.405779393630119,"type_1"
"266","LASP1","LIM and SH3 domain protein 1",0.267430616898602,0.391683179016672,"type_1"
"267","RPL11","60S ribosomal protein L11",0.26628166898465,0.482874502240823,"type_1"
"268","TST","Thiosulfate sulfurtransferase",0.265368547830271,0.209322807378264,"type_1"
"269","HSD17B8","(3R)-3-hydroxyacyl-CoA dehydrogenase",0.264605896557311,0.298600163349835,"type_1"
"270","SNTA1","Alpha-1-syntrophin",0.264143104187522,0.202088288495721,"type_1"
"271","XIRP1","Xin actin-binding repeat-containing protein 1",0.264030571915129,0.589014517582524,"type_1"
"272","HSPH1","Heat shock protein 105 kDa",0.263463865570861,0.416817238541786,"type_1"
"273","GART","Trifunctional purine biosynthetic protein adenosine-3",0.263407969112793,0.267132055199581,"type_1"
"274","GPD1","Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",0.263171789830292,0.23622823993244,"type_1"
"275","MLEC","Malectin",0.262519574837743,0.417881115100787,"type_1"
"276","RCC1L","RCC1-like G exchanging factor-like protein",0.262000745189948,0.336386639078927,"type_1"
"277","AKAP12","A-kinase anchor protein 12",0.261950414960449,0.74304559286513,"type_1"
"278","PRELP","Prolargin",0.26140787129305,0.450225370745291,"type_1"
"279","ISCA2","Iron-sulfur cluster assembly 2 homolog, mitochondrial",0.260747905362454,0.202088288495721,"type_1"
"280","DHRS7B","Dehydrogenase/reductase SDR family member 7B",0.260745789988171,0.294436301487839,"type_1"
"281","BTF3L4","Transcription factor BTF3 homolog 4",0.260188831088422,0.451930013700876,"type_1"
"282","SPECC1","Cytospin-B",0.260142355632205,0.66517790689661,"type_1"
"283","ACO1","Cytoplasmic aconitate hydratase",0.259934985253077,0.209696086359676,"type_1"
"284","NASP","Nuclear autoantigenic sperm protein",0.259565465325993,0.467025680795079,"type_1"
"285","FCGRT","IgG receptor FcRn large subunit p51",0.258885195084307,0.570793663355309,"type_1"
