"","Gene_name","Description","log2FC_post-pre","q-value","sex","fiber_type"
"60","ARG1","Arginase-1",0.495319865182363,0.141775032795392,"female","type_1"
"61","TIMM8B","Mitochondrial import inner membrane translocase subunit Tim8 B",0.492046668618148,0.0705315599523458,"female","type_1"
"62","C8A","Complement component C8 alpha chain",0.489233639366246,0.205835458323824,"female","type_1"
"63","CTNND1","Catenin delta-1",0.486477952109579,0.239967950899794,"female","type_1"
"64","CASP3","Caspase-3",0.484403014253589,0.0608178012915073,"female","type_1"
"65","SERPINB3","Serpin B3",0.481897418098422,0.356276041552048,"female","type_1"
"66","C4orf54","Uncharacterized protein C4orf54",0.480767517308495,0.450448721575458,"female","type_1"
"67","RNF7","RING-box protein 2",0.480617675223588,0.244219399242367,"female","type_1"
"68","TBCE","Tubulin-specific chaperone E",0.474403601046539,0.0608178012915073,"female","type_1"
"69","UBL4A","Ubiquitin-like protein 4A",0.47229547624821,0.460839388421885,"female","type_1"
"70","SEPTIN7","Septin-7",0.464311011322712,0.0536765972496718,"female","type_1"
"71","MRC2","C-type mannose receptor 2",0.463863107550246,0.350071511667749,"female","type_1"
"72","LAMP2","Lysosome-associated membrane glycoprotein 2",0.461857244266447,0.0608178012915073,"female","type_1"
"73","ALDOC","Fructose-bisphosphate aldolase C",0.460417615695013,0.312193576482768,"female","type_1"
"74","SSR1","Translocon-associated protein subunit alpha",0.454159464498055,0.231196099657018,"female","type_1"
"75","RILP","Rab-interacting lysosomal protein",0.452694398349937,0.241688894568559,"female","type_1"
"76","LGALS3","Galectin-3",0.451524755848713,0.0608178012915073,"female","type_1"
"77","MEAK7","MTOR-associated protein MEAK7",0.450073275233882,0.268695733755958,"female","type_1"
"78","NDUFB1","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1",0.45000921282799,0.190503447812405,"female","type_1"
"79","GAPVD1","GTPase-activating protein and VPS9 domain-containing protein 1",0.447765875327434,0.486344943745868,"female","type_1"
"80","VIM","Vimentin",0.44541980070041,0.0158471970489787,"female","type_1"
"81","CDK5","Cyclin-dependent kinase 5",0.442259255916801,0.0536765972496718,"female","type_1"
"82","EIF6","Eukaryotic translation initiation factor 6",0.438894156255456,0.106250219046614,"female","type_1"
"83","ARPC1A","Actin-related protein 2/3 complex subunit 1A",0.436474877280476,0.155824055789438,"female","type_1"
"84","CAMK2D","Calcium/calmodulin-dependent protein kinase type II subunit delta",0.43487545033538,0.0608178012915073,"female","type_1"
"85","SMPX","Small muscular protein",0.433368597788693,0.232071068955856,"female","type_1"
"86","CARNS1","Carnosine synthase 1",0.432148997919665,0.138865119579375,"female","type_1"
"87","MARCKS","Myristoylated alanine-rich C-kinase substrate",0.432080119704681,0.096247296272504,"female","type_1"
"88","TMED2","Transmembrane emp24 domain-containing protein 2",0.431740842380274,0.096247296272504,"female","type_1"
"89","RTN3","Reticulon-3",0.426316010096938,0.138865119579375,"female","type_1"
"90","RAB4A","Ras-related protein Rab-4A",0.425609185533494,0.112365667055007,"female","type_1"
"91","LGALSL","Galectin-related protein",0.423766429621278,0.0858088372749509,"female","type_1"
"92","CSK","Tyrosine-protein kinase CSK",0.423718105505925,0.241698470316004,"female","type_1"
"93","S100A11","Protein S100-A11",0.421923881676072,0.263399126748215,"female","type_1"
"94","NGRN","Neugrin",0.419744512613578,0.575040996751184,"female","type_1"
"95","SMTNL2","Smoothelin-like protein 2",0.415126634574689,0.0608178012915073,"female","type_1"
"96","ACTR3","Actin-related protein 3",0.414609646643846,0.0619309869345179,"female","type_1"
"97","CTSC","Dipeptidyl peptidase 1",0.414433067660118,0.404984362789769,"female","type_1"
"98","SMARCC2","SWI/SNF complex subunit SMARCC2",0.412390458291769,0.0941969806281969,"female","type_1"
"99","NBAS","NBAS subunit of NRZ tethering complex",0.411307963193972,0.405276300576418,"female","type_1"
"100","RPS29","40S ribosomal protein S29",0.410328695140999,0.160924901831533,"female","type_1"
"101","CDC37","Hsp90 co-chaperone Cdc37",0.406464249029895,0.156011061218681,"female","type_1"
"102","TXNDC17","Thioredoxin domain-containing protein 17",0.405602136823356,0.0619309869345179,"female","type_1"
"103","SIL1","Nucleotide exchange factor SIL1",0.404230800261365,0.223575703889579,"female","type_1"
"104","COL1A1","Collagen alpha-1(I) chain",0.402951167917232,0.481033981346801,"female","type_1"
"105","HSPB6","Heat shock protein beta-6",0.401967810925598,0.0456317097661817,"female","type_1"
"106","PPT1","Palmitoyl-protein thioesterase 1",0.401350869611871,0.130898677665879,"female","type_1"
"107","LUC7L2","Putative RNA-binding protein Luc7-like 2",0.399697459021104,0.448944144197163,"female","type_1"
"108","PRRC2A","Protein PRRC2A",0.391101088463495,0.298432085911311,"female","type_1"
"109","RANGAP1","Ran GTPase-activating protein 1",0.390264358623122,0.408928793613767,"female","type_1"
"110","UCHL1","Ubiquitin carboxyl-terminal hydrolase isozyme L1",0.389032309463142,0.166686587254114,"female","type_1"
"111","PDPR","Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",0.387878390539337,0.227886603350181,"female","type_1"
"112","ITPA","Inosine triphosphate pyrophosphatase",0.387202528856401,0.200900239469894,"female","type_1"
"113","MICU2","Calcium uptake protein 2, mitochondrial",0.386888799104931,0.102031994722174,"female","type_1"
"114","ANKRD2","Ankyrin repeat domain-containing protein 2",0.385056334960026,0.205915028235934,"female","type_1"
"115","NUDT19","Acyl-coenzyme A diphosphatase NUDT19",0.384555843344293,0.138865119579375,"female","type_1"
"116","AGBL1","Cytosolic carboxypeptidase 4",0.382422451457181,0.232071068955856,"female","type_1"
"117","SLC25A5","ADP/ATP translocase 2",0.379229981573884,0.356276041552048,"female","type_1"
"118","S100A9","Protein S100-A9",0.377584125913938,0.484369253751895,"female","type_1"
"119","UFSP2","Ufm1-specific protease 2",0.377064941696975,0.352186373055731,"female","type_1"
"120","ATP5ME","ATP synthase subunit e, mitochondrial",0.376546426101857,0.2877778058588,"female","type_1"
"121","EIF1AY","Eukaryotic translation initiation factor 1A, Y-chromosomal",0.3759883023748,0.470321917869148,"female","type_1"
"122","HPRT1","Hypoxanthine-guanine phosphoribosyltransferase",0.374001115711758,0.0726022874154567,"female","type_1"
"123","LASP1","LIM and SH3 domain protein 1",0.373744105692994,0.137359282442055,"female","type_1"
"124","GSN","Gelsolin",0.373418359804775,0.0608178012915073,"female","type_1"
"125","DNAJA4","DnaJ homolog subfamily A member 4",0.372097586829387,0.107059285003795,"female","type_1"
"126","CBR1","Carbonyl reductase [NADPH] 1",0.371488981125086,0.0608178012915073,"female","type_1"
"127","NRP1","Neuropilin-1",0.371354608193503,0.23754251994457,"female","type_1"
"128","GPX7","Glutathione peroxidase 7",0.370530673586952,0.446250680014855,"female","type_1"
"129","CES2","Cocaine esterase",0.37001641707403,0.108250514137651,"female","type_1"
"130","PLIN3","Perilipin-3",0.368889133143673,0.0608178012915073,"female","type_1"
"131","COA5","Cytochrome c oxidase assembly factor 5",0.367884059987828,0.0848397249275376,"female","type_1"
"132","SPECC1","Cytospin-B",0.366949866438008,0.487274716610164,"female","type_1"
"133","RAB35","Ras-related protein Rab-35",0.362807059233155,0.135218604956289,"female","type_1"
"134","PPP2R5A","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform",0.362628769663232,0.108377696468293,"female","type_1"
"135","STX7","Syntaxin-7",0.361290030472258,0.246226299123573,"female","type_1"
"136","COLGALT1","Procollagen galactosyltransferase 1",0.36081292773401,0.311893644336188,"female","type_1"
"137","MCAM","Cell surface glycoprotein MUC18",0.36065170751476,0.196172982777052,"female","type_1"
"138","TUBA1B","Tubulin alpha-1B chain",0.360561474556663,0.221762576160431,"female","type_1"
"139","CCDC25","Coiled-coil domain-containing protein 25",0.360249994543826,0.198588834585798,"female","type_1"
"140","ARPC1B","Actin-related protein 2/3 complex subunit 1B",0.358973963527097,0.160306986720621,"female","type_1"
"141","COX11","Cytochrome c oxidase assembly protein COX11, mitochondrial",0.35712745776574,0.314484863124359,"female","type_1"
"142","AP1M1","AP-1 complex subunit mu-1",0.355560757887453,0.152187936891993,"female","type_1"
"143","NDUFAF7","Protein arginine methyltransferase NDUFAF7, mitochondrial",0.353833396227094,0.0899434483759993,"female","type_1"
"144","ALDH1B1","Aldehyde dehydrogenase X, mitochondrial",0.350131760925251,0.165412328762227,"female","type_1"
"145","TUBB2B","Tubulin beta-2B chain",0.349709418431926,0.173583172976651,"female","type_1"
"146","PTCD3","Pentatricopeptide repeat domain-containing protein 3, mitochondrial",0.349302713953822,0.0456317097661817,"female","type_1"
"147","G6PD","Glucose-6-phosphate 1-dehydrogenase",0.348310444719347,0.4803959606028,"female","type_1"
"148","LSMEM1","Leucine-rich single-pass membrane protein 1",0.346852995148334,0.442452272679208,"female","type_1"
"149","HAX1","HCLS1-associated protein X-1",0.344918600605121,0.185064097391098,"female","type_1"
"150","TSTD1","Thiosulfate:glutathione sulfurtransferase",0.341801728778604,0.317944227709118,"female","type_1"
"151","TUBB4A","Tubulin beta-4A chain",0.338907313678558,0.304592892464512,"female","type_1"
"152","TFB2M","Dimethyladenosine transferase 2, mitochondrial",0.338639918809378,0.54148884563513,"female","type_1"
"153","TPM4","Tropomyosin alpha-4 chain",0.337160814503546,0.112370695952538,"female","type_1"
"154","S100A8","Protein S100-A8",0.336896820425913,0.518000190366865,"female","type_1"
"155","CCDC90B","Coiled-coil domain-containing protein 90B, mitochondrial",0.335372251127081,0.173583172976651,"female","type_1"
"156","HMOX2","Heme oxygenase 2",0.335154098913391,0.0613906289008372,"female","type_1"
"157","SIAE","Sialate O-acetylesterase",0.335042224059185,0.190909232239732,"female","type_1"
"158","IL18","Interleukin-18",0.334161326344701,0.216553666042164,"female","type_1"
"159","FAM98A","Protein FAM98A",0.333261347956899,0.356276041552048,"female","type_1"
"160","ANXA2","Annexin A2",0.333228703869203,0.07823001289299,"female","type_1"
"161","PGM3","Phosphoacetylglucosamine mutase",0.331887481363285,0.0726022874154567,"female","type_1"
"162","CTSA","Lysosomal protective protein",0.331681580311892,0.356276041552048,"female","type_1"
"163","ABHD5","1-acylglycerol-3-phosphate O-acyltransferase ABHD5",0.331341753829919,0.173583172976651,"female","type_1"
"164","MLEC","Malectin",0.331093304562636,0.0908250871940406,"female","type_1"
"165","THEM4","Acyl-coenzyme A thioesterase THEM4",0.330902405226396,0.336279977204323,"female","type_1"
"166","HLA-A","HLA class I histocompatibility antigen, A alpha chain",0.328880343540684,0.0941969806281969,"female","type_1"
"167","RSU1","Ras suppressor protein 1",0.327764086699315,0.183935010827559,"female","type_1"
"168","ANXA1","Annexin A1",0.325328430703328,0.173583172976651,"female","type_1"
"169","ENDOG","Endonuclease G, mitochondrial",0.324882228042314,0.146453181347566,"female","type_1"
"170","PRR33","Proline-rich protein 33",0.320646512767167,0.130898677665879,"female","type_1"
"171","ABHD11","Protein ABHD11",0.320162369630166,0.0619309869345179,"female","type_1"
"172","PPP1R3D","Protein phosphatase 1 regulatory subunit 3D",0.319314009830418,0.448944144197163,"female","type_1"
"173","DYNLT3","Dynein light chain Tctex-type 3",0.318312722336756,0.371267076684309,"female","type_1"
"174","ARF1","ADP-ribosylation factor 1",0.31789489079172,0.0608178012915073,"female","type_1"
"175","PRCP","Lysosomal Pro-X carboxypeptidase",0.317845517043901,0.42053691420318,"female","type_1"
"176","NPEPL1","Probable aminopeptidase NPEPL1",0.317680678984939,0.0619309869345179,"female","type_1"
"177","GUF1","Translation factor GUF1, mitochondrial",0.317330840065624,0.138865119579375,"female","type_1"
"178","SYPL1","Synaptophysin-like protein 1",0.316233645758608,0.274302524904675,"female","type_1"
"179","DUSP22","Dual specificity protein phosphatase 22",0.315936554091596,0.208614243425081,"female","type_1"
"180","GSTM1","Glutathione S-transferase Mu 1",0.315531569926419,0.617377294448241,"female","type_1"
"181","PNP","Purine nucleoside phosphorylase",0.31551780573745,0.354087632679753,"female","type_1"
"182","ABCF2","ATP-binding cassette sub-family F member 2",0.314818151772201,0.35344145526106,"female","type_1"
"183","SF3B2","Splicing factor 3B subunit 2",0.314232825910276,0.0866907677869089,"female","type_1"
"184","SYNPO2","Synaptopodin-2",0.314090220295771,0.0608178012915073,"female","type_1"
"185","RHOT1","Mitochondrial Rho GTPase 1",0.313893457382909,0.0899434483759993,"female","type_1"
"186","KIAA1191","Putative monooxygenase p33MONOX",0.313761173788924,0.48490700737479,"female","type_1"
"187","MOGS","Mannosyl-oligosaccharide glucosidase",0.311729652023653,0.232071068955856,"female","type_1"
"188","MAPKAPK2","MAP kinase-activated protein kinase 2",0.311665184794538,0.344687523036904,"female","type_1"
"189","LYPLA1","Acyl-protein thioesterase 1",0.311515397284285,0.0822638035541141,"female","type_1"
"190","SAE1","SUMO-activating enzyme subunit 1",0.31138283274408,0.309804386995264,"female","type_1"
"191","IMPACT","Protein IMPACT",0.309290593026047,0.130025297912468,"female","type_1"
"192","MRPS28","28S ribosomal protein S28, mitochondrial",0.309143597201277,0.158255355603666,"female","type_1"
"193","MCEE","Methylmalonyl-CoA epimerase, mitochondrial",0.308997187145286,0.324032664959964,"female","type_1"
"194","CSRP3","Cysteine and glycine-rich protein 3",0.30814496426316,0.232071068955856,"female","type_1"
"195","DUSP13","Dual specificity protein phosphatase 13 isoform A",0.307615488110383,0.285759444171885,"female","type_1"
"196","DUSP13","Dual specificity protein phosphatase 13 isoform B",0.307615488110383,0.285759444171885,"female","type_1"
"197","PRDX5","Peroxiredoxin-5, mitochondrial",0.30722308121106,0.0619309869345179,"female","type_1"
"198","GLS","Glutaminase kidney isoform, mitochondrial",0.306904277483802,0.312193576482768,"female","type_1"
"199","TRPT1","tRNA 2'-phosphotransferase 1",0.306755203537842,0.378433801992164,"female","type_1"
"200","EEF1A1","Elongation factor 1-alpha 1",0.306445646994064,0.087435685997291,"female","type_1"
"201","PTRH2","Peptidyl-tRNA hydrolase 2, mitochondrial",0.305874830258801,0.138865119579375,"female","type_1"
"202","CTSB","Cathepsin B",0.305736449889558,0.101571916962026,"female","type_1"
"203","SMTN","Smoothelin",0.305392396904757,0.0893175007784091,"female","type_1"
"204","PANX1","Pannexin-1",0.304571665353487,0.47789318930515,"female","type_1"
"205","PURB","Transcriptional activator protein Pur-beta",0.304278514444929,0.133166428567863,"female","type_1"
"206","PELO","Protein pelota homolog",0.304204256416929,0.156038901674961,"female","type_1"
"207","APOL2","Apolipoprotein L2",0.303444236756006,0.312053091297389,"female","type_1"
"208","KIAA1217","Sickle tail protein homolog",0.303040494589524,0.156011061218681,"female","type_1"
"209","RPS13","40S ribosomal protein S13",0.302812781596611,0.302830093369903,"female","type_1"
"210","TXN","Thioredoxin",0.302336418359861,0.232071068955856,"female","type_1"
"211","RPS23","40S ribosomal protein S23",0.3021129170689,0.304797923863987,"female","type_1"
"212","CALU","Calumenin",0.301992580264974,0.0608178012915073,"female","type_1"
"213","EGFLAM","Pikachurin",0.301417536884999,0.35490029483587,"female","type_1"
"214","NAMPT","Nicotinamide phosphoribosyltransferase",0.300256065919077,0.0848397249275376,"female","type_1"
"215","PPIL1","Peptidyl-prolyl cis-trans isomerase-like 1",0.299310330166612,0.267866776087506,"female","type_1"
"216","TPD52","Tumor protein D52",0.299136184510596,0.501738560725271,"female","type_1"
"217","TUBB2A","Tubulin beta-2A chain",0.298751193247046,0.205835458323824,"female","type_1"
"218","SSR4","Translocon-associated protein subunit delta",0.297905036753823,0.120069309421971,"female","type_1"
"219","ERN1","Serine/threonine-protein kinase/endoribonuclease IRE1",0.297183014501387,0.152187936891993,"female","type_1"
"220","TRAPPC3","Trafficking protein particle complex subunit 3",0.296939062419616,0.258839046649531,"female","type_1"
"221","TGM2","Protein-glutamine gamma-glutamyltransferase 2",0.296529413722199,0.177836496230084,"female","type_1"
"222","HSPB3","Heat shock protein beta-3",0.296190404260742,0.133166428567863,"female","type_1"
"223","SULT1A3","Sulfotransferase 1A3",0.295654130389194,0.279115644196374,"female","type_1"
"224","ZC3H8","Zinc finger CCCH domain-containing protein 8",0.295489537955469,0.657055975127334,"female","type_1"
"225","TBRG4","FAST kinase domain-containing protein 4",0.294442984174431,0.128630636575502,"female","type_1"
"226","SET","Protein SET",0.29429948100989,0.380985071983583,"female","type_1"
"227","SNRPC","U1 small nuclear ribonucleoprotein C",0.293993634440843,0.228562484409866,"female","type_1"
"228","ADGRE5","Adhesion G protein-coupled receptor E5",0.291083727024464,0.451789385640331,"female","type_1"
"229","NDUFA4","Cytochrome c oxidase subunit NDUFA4",0.290806587724202,0.227520084006874,"female","type_1"
"230","PPP2R5D","Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform",0.290079410408785,0.0878794063155605,"female","type_1"
"231","MLH3","DNA mismatch repair protein Mlh3",0.289261228526055,0.312193576482768,"female","type_1"
"232","AGRN","Agrin",0.288183131352634,0.386137635862543,"female","type_1"
"233","NTMT1","N-terminal Xaa-Pro-Lys N-methyltransferase 1",0.286204417848198,0.138865119579375,"female","type_1"
"234","SYNGR1","Synaptogyrin-1",0.286090219901444,0.276808155913556,"female","type_1"
"235","PTMS","Parathymosin",0.286085016746721,0.304592892464512,"female","type_1"
"236","PDIA6","Protein disulfide-isomerase A6",0.285777414898048,0.087435685997291,"female","type_1"
"237","VPS45","Vacuolar protein sorting-associated protein 45",0.285170012017275,0.225206346650145,"female","type_1"
"238","CACYBP","Calcyclin-binding protein",0.285000351799662,0.113691028485628,"female","type_1"
"239","TAGLN2","Transgelin-2",0.284249046413747,0.0671910123884142,"female","type_1"
"240","ATP6V0D1","V-type proton ATPase subunit d 1",0.283881436124156,0.311242283252632,"female","type_1"
"241","LRRC39","Leucine-rich repeat-containing protein 39",0.283181860636512,0.132166498752735,"female","type_1"
"242","AFG1L","AFG1-like ATPase",0.282709389369105,0.336279977204323,"female","type_1"
"243","ACSS1","Acetyl-coenzyme A synthetase 2-like, mitochondrial",0.282670476447558,0.183935010827559,"female","type_1"
"244","UBE2A","Ubiquitin-conjugating enzyme E2 A",0.280711975146042,0.144981706494704,"female","type_1"
"245","AIP","AH receptor-interacting protein",0.280428045959834,0.446495536930217,"female","type_1"
"246","ECH1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",0.279239790934575,0.0858088372749509,"female","type_1"
"247","POR","NADPH--cytochrome P450 reductase",0.278992212271858,0.282183909694237,"female","type_1"
"248","ZNF512","Zinc finger protein 512",0.278915532941756,0.411808338922588,"female","type_1"
"249","RPL11","60S ribosomal protein L11",0.278198270443138,0.34676059018925,"female","type_1"
"250","SPARC","SPARC",0.273829142933968,0.138865119579375,"female","type_1"
"251","POLR2I","DNA-directed RNA polymerase II subunit RPB9",0.273399295740132,0.4828470012547,"female","type_1"
"252","ERP44","Endoplasmic reticulum resident protein 44",0.272912525938033,0.160924901831533,"female","type_1"
"253","RPS28","40S ribosomal protein S28",0.271436450842639,0.130898677665879,"female","type_1"
"254","MTDH","Protein LYRIC",0.270944948554753,0.450448721575458,"female","type_1"
"255","SUPV3L1","ATP-dependent RNA helicase SUPV3L1, mitochondrial",0.270634534458276,0.267866776087506,"female","type_1"
"256","THOC2","THO complex subunit 2",0.269762952491185,0.312193576482768,"female","type_1"
"257","API5","Apoptosis inhibitor 5",0.26930297729653,0.285290871646694,"female","type_1"
"258","IDH3A","Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",0.269183767463883,0.0619309869345179,"female","type_1"
"259","DPP3","Dipeptidyl peptidase 3",0.268599024109623,0.108250514137651,"female","type_1"
"260","ERP29","Endoplasmic reticulum resident protein 29",0.268061660976656,0.151149821529288,"female","type_1"
"261","CAPG","Macrophage-capping protein",0.267788196723034,0.265245115547403,"female","type_1"
"262","NES","Nestin",0.267269395215644,0.409972632552129,"female","type_1"
"263","SRP14","Signal recognition particle 14 kDa protein",0.267240530678036,0.369605342791514,"female","type_1"
"264","POLG","DNA polymerase subunit gamma-1",0.26653029165092,0.507663793281412,"female","type_1"
"265","MRPL43","39S ribosomal protein L43, mitochondrial",0.266151531750438,0.315664068329161,"female","type_1"
"266","TOMM20","Mitochondrial import receptor subunit TOM20 homolog",0.266090411558011,0.335596313438545,"female","type_1"
"267","RCC1L","RCC1-like G exchanging factor-like protein",0.266003976186125,0.31658152259912,"female","type_1"
"268","AFM","Afamin",0.264625942843365,0.574323052918561,"female","type_1"
"269","STAT1","Signal transducer and activator of transcription 1-alpha/beta",0.264110517157294,0.0619309869345179,"female","type_1"
"270","ATP5PO","ATP synthase subunit O, mitochondrial",0.263815772700546,0.288823098512077,"female","type_1"
"271","UFL1","E3 UFM1-protein ligase 1",0.261235641920951,0.151149821529288,"female","type_1"
"272","CLPP","ATP-dependent Clp protease proteolytic subunit, mitochondrial",0.261038648592613,0.0640751877604597,"female","type_1"
"273","CRADD","Death domain-containing protein CRADD",0.260793132933006,0.244219399242367,"female","type_1"
"274","HDHD2","Haloacid dehalogenase-like hydrolase domain-containing protein 2",0.260774467204959,0.0984767494072023,"female","type_1"
"275","ANP32A","Acidic leucine-rich nuclear phosphoprotein 32 family member A",0.260285242054081,0.343489537097571,"female","type_1"
"276","DDAH1","N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",0.260226368675628,0.31658152259912,"female","type_1"
"277","PAIP1","Polyadenylate-binding protein-interacting protein 1",0.259431824507374,0.306233882464837,"female","type_1"
"278","IGFN1","Immunoglobulin-like and fibronectin type III domain-containing protein 1",0.258896860378233,0.554802539586482,"female","type_1"
"279","MKNK1","MAP kinase-interacting serine/threonine-protein kinase 1",0.258755050992757,0.452040902947878,"female","type_1"
"280","GMPS","GMP synthase [glutamine-hydrolyzing]",0.258676352731417,0.336482113319088,"female","type_1"
"281","LYPLA2","Acyl-protein thioesterase 2",0.258526836560941,0.265245115547403,"female","type_1"
"282","MRPS35","28S ribosomal protein S35, mitochondrial",0.258409452874293,0.208416468872191,"female","type_1"
"283","TMSB4X","Thymosin beta-4",0.258103811942259,0.336279977204323,"female","type_1"
"284","CALR","Calreticulin",0.257365742569641,0.0608178012915073,"female","type_1"
"285","TAPT1","Transmembrane anterior posterior transformation protein 1 homolog",0.256858688950997,0.366744589772805,"female","type_1"
"286","RAD23B","UV excision repair protein RAD23 homolog B",0.255925879769492,0.0608178012915073,"female","type_1"
"287","CLASP1","CLIP-associating protein 1",0.255566225207694,0.336279977204323,"female","type_1"
